Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,67.0,69.2,69.4,56.7,48.0,42.5,40.5,39.3,36.5,35.3,34.2,35.3,35.7,33.2,28.4,26.9,25.7,25.0,25.3
Comoros,,,,,,,,,,,,,,,,,,,
Congo,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,3.5,,,,,,
Costa Rica,6.3,6.4,6.3,7.2,6.6,7.8,8.1,8.4,11.5,11.6,11.5,10.2,8.7,8.7,9.9,11.5,11.8,12.2,11.3
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,
Croatia,2.3,1.8,1.7,1.6,1.9,1.6,1.7,1.4,1.6,1.1,1.4,1.1,1.2,1.1,0.8,0.9,1.0,1.1,0.6
Cuba,5.3,5.4,5.9,5.7,5.9,6.1,5.1,5.0,4.6,5.0,4.5,4.8,5.5,6.0,5.3,5.5,5.0,,
Curacao,,7.7,30.2,33.5,31.9,20.0,13.6,19.0,,,,,,,,,,,
Cyprus,0.8,0.7,0.2,1.4,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1.0,1.0,1.3,1.1,0.6,1.3
Czechia,1.9,1.3,1.4,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1.0,0.8,1.0,0.9,0.8,0.8,0.6,0.6,
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,
Denmark,1.1,1.0,0.9,1.2,0.8,1.0,0.5,0.7,1.0,0.9,0.8,0.8,0.8,0.9,1.3,1.1,1.0,1.2,1.0
Djibouti,,,,,,,,,,,,,,,,,,,
Dominica,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.9,18.3,21.2,8.5,,,12.7,12.6,22.4,26.6,
Dominican Republic,14.3,12.7,14.7,21.5,24.9,26.3,23.3,22.6,25.3,24.8,25.5,25.6,22.8,19.7,17.8,,15.5,11.6,10.0
Ecuador,14.5,12.8,14.5,14.5,17.6,15.3,17.0,15.9,17.9,17.8,17.5,15.4,12.4,11.0,8.2,6.5,5.8,5.8,5.8
Egypt,,,,0.6,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.2,2.6,,,,,,
El Salvador,60.3,60.6,47.6,56.0,64.7,64.1,64.6,57.3,51.8,71.2,64.5,70.4,41.6,40.1,62.3,105.2,83.0,61.7,52.0
Equatorial Guinea,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,
Estonia,10.2,9.8,10.3,10.7,6.7,8.3,6.7,7.1,6.4,5.2,5.3,4.9,4.8,3.9,3.1,3.4,2.5,2.2,2.1
Eswatini,12.7,18.2,13.1,13.2,14.2,13.5,12.3,11.6,20.7,17.7,19.5,16.0,9.6,9.4,10.8,10.1,10.4,11.6,
Ethiopia,,,,,,,,,,,,,8.8,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,
Fiji,,,,3.1,2.8,2.8,2.7,2.5,2.0,3.4,2.3,2.3,2.3,2.2,2.3,,,,
Finland,2.9,3.0,2.5,2.0,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2.0,1.6,1.6,1.6,1.5,1.3,1.3,1.6
France,1.8,1.8,1.9,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2,1.6,1.4,1.3,1.2
French Guiana,,,,,29.7,22.2,20.0,13.0,14.4,13.2,,,,,,,,,
French Polynesia,,,,,,,1.1,2.7,3.4,0.4,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,
Georgia,5.5,6.1,6.9,7.1,7.1,9.6,7.7,7.9,6.3,5.1,4.6,,,,2.7,,1.0,,2.2
Germany,1.2,1.1,1.2,1.1,1.1,1.1,1.0,0.9,0.9,1.0,1.0,0.9,0.8,0.8,0.9,0.8,1.2,1.0,0.9
Ghana,,2.2,2.0,2.1,2.1,1.8,1.8,1.7,1.8,1.8,1.7,1.7,2.2,2.1,2.0,1.9,1.9,2.1,
Gibraltar,,,,,,,,,,0.0,3.0,,,,,,,,
Greece,,1.2,0.8,1.1,1.0,1.2,1.0,1.2,1.3,1.4,1.6,1.7,1.5,1.4,1.0,0.9,0.8,0.8,0.9
Greenland,23.1,30.2,21.2,8.8,19.3,17.6,14.0,14.1,14.1,17.6,19.4,1.8,14.2,12.4,7.1,7.1,5.3,,
Grenada,14.6,5.8,13.5,8.7,5.8,10.5,11.4,10.5,15.2,6.6,9.4,3.7,13.0,5.5,7.3,5.5,10.0,10.8,
Guadeloupe,,,,,6.4,5.7,6.0,7.2,7.9,8.9,,6.7,7.7,8.7,5.2,9.7,5.8,,
Guam,1.3,5.1,1.3,5.1,5.7,4.4,6.9,0.6,0.6,3.1,1.9,2.5,,,,,,,
Guatemala,24.9,27.1,29.7,33.9,35.2,40.8,43.9,42.2,44.9,45.4,40.7,38.0,33.8,33.7,31.4,29.4,27.3,26.1,22.5
Guinea,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,4.9,3.8,2.8,3.6,1.1,
Guyana,10.2,10.7,19.2,28.0,17.6,19.0,20.5,15.4,21.2,15.6,18.7,17.3,18.4,20.4,19.5,19.4,18.4,14.8,14.2
