Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Kingdom (Northern Ireland),1.5,1.5,1.8,1.5,1.5,1.3,1.3,1.3,1.2,1.1,1.1,0.9,1.0,0.9,0.9,1.0,1.2,1.2,1.2
United Kingdom (Scotland),,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,,,,7.6,7.8,,,,,,8.8,9.1,8.7,7.6,7.8,7.3,6.5,,
United States of America,5.5,6.7,5.6,5.7,5.5,5.7,5.8,5.7,5.4,5.0,4.8,4.7,4.7,4.5,4.4,4.9,5.4,5.3,5.0
United States Virgin Islands,21.2,25.8,37.8,28.6,34.2,34.3,40.0,40.1,43.1,47.0,52.8,42.5,49.3,,,,,,
Uruguay,6.4,6.6,6.9,5.9,6.0,5.7,6.1,5.8,6.6,6.7,6.1,5.9,7.9,7.7,7.9,8.6,7.8,8.3,12.1
Uzbekistan,4.3,4.3,4.2,3.7,3.7,3.4,3.2,3.0,3.0,,,,,,1.5,1.6,1.4,1.1,
Vanuatu,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),33.2,32.3,38.3,44.4,37.4,37.7,45.6,48.3,52.8,49.9,46.0,48.8,54.7,,63.3,52.0,59.6,49.9,36.7
Viet Nam,,1.2,1.3,1.3,1.3,1.3,1.2,1.4,1.3,1.4,1.5,1.5,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,
Yemen,4.0,,,3.7,3.3,4.7,4.3,4.0,4.0,4.4,4.7,5.8,6.6,6.8,,,,,
Zambia,7.7,,,,,,,,5.4,6.1,6.0,6.2,6.1,5.8,5.4,5.4,,,
Zimbabwe,,12.8,13.6,11.4,11.3,11.2,8.8,,,,5.6,,7.5,,,,,,
